name,city,title,completed
Leanne Graham,Gwenborough,delectus aut autem,0
Leanne Graham,Gwenborough,quis ut nam facilis et officia qui,0
Leanne Graham,Gwenborough,fugiat veniam minus,0
Leanne Graham,Gwenborough,et porro tempora,1
Leanne Graham,Gwenborough,laboriosam mollitia et enim quasi adipisci quia provident illum,0
Leanne Graham,Gwenborough,qui ullam ratione quibusdam voluptatem quia omnis,0
Leanne Graham,Gwenborough,illo expedita consequatur quia in,0
Leanne Graham,Gwenborough,quo adipisci enim quam ut ab,1
Leanne Graham,Gwenborough,molestiae perspiciatis ipsa,0
Leanne Graham,Gwenborough,illo est ratione doloremque quia maiores aut,1
Leanne Graham,Gwenborough,vero rerum temporibus dolor,1
Leanne Graham,Gwenborough,ipsa repellendus fugit nisi,1
Leanne Graham,Gwenborough,et doloremque nulla,0
Leanne Graham,Gwenborough,repellendus sunt dolores architecto voluptatum,1
Leanne Graham,Gwenborough,ab voluptatum amet voluptas,1
Leanne Graham,Gwenborough,accusamus eos facilis sint et aut voluptatem,1
Leanne Graham,Gwenborough,quo laboriosam deleniti aut qui,1
Leanne Graham,Gwenborough,dolorum est consequatur ea mollitia in culpa,0
Leanne Graham,Gwenborough,molestiae ipsa aut voluptatibus pariatur dolor nihil,1
Leanne Graham,Gwenborough,ullam nobis libero sapiente ad optio sint,1
Ervin Howell,Wisokyburgh,suscipit repellat esse quibusdam voluptatem incidunt,0
Ervin Howell,Wisokyburgh,distinctio vitae autem nihil ut molestias quo,1
Ervin Howell,Wisokyburgh,et itaque necessitatibus maxime molestiae qui quas velit,0
Ervin Howell,Wisokyburgh,adipisci non ad dicta qui amet quaerat doloribus ea,0
Ervin Howell,Wisokyburgh,voluptas quo tenetur perspiciatis explicabo natus,1
Ervin Howell,Wisokyburgh,aliquam aut quasi,1
Ervin Howell,Wisokyburgh,veritatis pariatur delectus,1
Ervin Howell,Wisokyburgh,nesciunt totam sit blanditiis sit,0
Ervin Howell,Wisokyburgh,laborum aut in quam,0
Ervin Howell,Wisokyburgh,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,1
Ervin Howell,Wisokyburgh,repudiandae totam in est sint facere fuga,0
Ervin Howell,Wisokyburgh,earum doloribus ea doloremque quis,0
Ervin Howell,Wisokyburgh,sint sit aut vero,0
Ervin Howell,Wisokyburgh,porro aut necessitatibus eaque distinctio,0
Ervin Howell,Wisokyburgh,repellendus veritatis molestias dicta incidunt,1
Ervin Howell,Wisokyburgh,excepturi deleniti adipisci voluptatem et neque optio illum ad,1
Ervin Howell,Wisokyburgh,sunt cum tempora,0
Ervin Howell,Wisokyburgh,totam quia non,0
Ervin Howell,Wisokyburgh,doloremque quibusdam asperiores libero corrupti illum qui omnis,0
Ervin Howell,Wisokyburgh,totam atque quo nesciunt,1
Clementine Bauch,McKenziehaven,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit,0
Clementine Bauch,McKenziehaven,rerum perferendis error quia ut eveniet,0
Clementine Bauch,McKenziehaven,tempore ut sint quis recusandae,1
Clementine Bauch,McKenziehaven,cum debitis quis accusamus doloremque ipsa natus sapiente omnis,1
Clementine Bauch,McKenziehaven,velit soluta adipisci molestias reiciendis harum,0
Clementine Bauch,McKenziehaven,vel voluptatem repellat nihil placeat corporis,0
Clementine Bauch,McKenziehaven,nam qui rerum fugiat accusamus,0
Clementine Bauch,McKenziehaven,sit reprehenderit omnis quia,0
Clementine Bauch,McKenziehaven,ut necessitatibus aut maiores debitis officia blanditiis velit et,0
Clementine Bauch,McKenziehaven,cupiditate necessitatibus ullam aut quis dolor voluptate,1
Clementine Bauch,McKenziehaven,distinctio exercitationem ab doloribus,0
Clementine Bauch,McKenziehaven,nesciunt dolorum quis recusandae ad pariatur ratione,0
Clementine Bauch,McKenziehaven,qui labore est occaecati recusandae aliquid quam,0
Clementine Bauch,McKenziehaven,quis et est ut voluptate quam dolor,1
Clementine Bauch,McKenziehaven,voluptatum omnis minima qui occaecati provident nulla voluptatem ratione,1
Clementine Bauch,McKenziehaven,deleniti ea temporibus enim,1
Clementine Bauch,McKenziehaven,pariatur et magnam ea doloribus similique voluptatem rerum quia,0
Clementine Bauch,McKenziehaven,est dicta totam qui explicabo doloribus qui dignissimos,0
Clementine Bauch,McKenziehaven,perspiciatis velit id laborum placeat iusto et aliquam odio,0
Clementine Bauch,McKenziehaven,et sequi qui architecto ut adipisci,1
Patricia Lebsack,South Elvis,odit optio omnis qui sunt,1
Patricia Lebsack,South Elvis,et placeat et tempore aspernatur sint numquam,0
Patricia Lebsack,South Elvis,doloremque aut dolores quidem fuga qui nulla,1
Patricia Lebsack,South Elvis,voluptas consequatur qui ut quia magnam nemo esse,0
Patricia Lebsack,South Elvis,fugiat pariatur ratione ut asperiores necessitatibus magni,0
Patricia Lebsack,South Elvis,rerum eum molestias autem voluptatum sit optio,0
Patricia Lebsack,South Elvis,quia voluptatibus voluptatem quos similique maiores repellat,0
Patricia Lebsack,South Elvis,aut id perspiciatis voluptatem iusto,0
Patricia Lebsack,South Elvis,doloribus sint dolorum ab adipisci itaque dignissimos aliquam suscipit,0
Patricia Lebsack,South Elvis,ut sequi accusantium et mollitia delectus sunt,0
Patricia Lebsack,South Elvis,aut velit saepe ullam,0
Patricia Lebsack,South Elvis,praesentium facilis facere quis harum voluptatibus voluptatem eum,0
Patricia Lebsack,South Elvis,sint amet quia totam corporis qui exercitationem commodi,1
Patricia Lebsack,South Elvis,expedita tempore nobis eveniet laborum maiores,0
Patricia Lebsack,South Elvis,occaecati adipisci est possimus totam,0
Patricia Lebsack,South Elvis,sequi dolorem sed,1
Patricia Lebsack,South Elvis,maiores aut nesciunt delectus exercitationem vel assumenda eligendi at,0
Patricia Lebsack,South Elvis,reiciendis est magnam amet nemo iste recusandae impedit quaerat,0
Patricia Lebsack,South Elvis,eum ipsa maxime ut,1
Patricia Lebsack,South Elvis,tempore molestias dolores rerum sequi voluptates ipsum consequatur,1
Chelsey Dietrich,Roscoeview,suscipit qui totam,1
Chelsey Dietrich,Roscoeview,voluptates eum voluptas et dicta,0
Chelsey Dietrich,Roscoeview,quidem at rerum quis ex aut sit quam,1
Chelsey Dietrich,Roscoeview,sunt veritatis ut voluptate,0
Chelsey Dietrich,Roscoeview,et quia ad iste a,1
Chelsey Dietrich,Roscoeview,incidunt ut saepe autem,1
Chelsey Dietrich,Roscoeview,laudantium quae eligendi consequatur quia et vero autem,1
Chelsey Dietrich,Roscoeview,vitae aut excepturi laboriosam sint aliquam et et accusantium,0
Chelsey Dietrich,Roscoeview,sequi ut omnis et,1
Chelsey Dietrich,Roscoeview,molestiae nisi accusantium tenetur dolorem et,1
Chelsey Dietrich,Roscoeview,nulla quis consequatur saepe qui id expedita,1
